,Major,Minor,SalePrice,Address,BuildingNumber,StreetName,ZipCode,Stories,BldgGrade,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,FinBasementGrade,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,HeatSystem,HeatSource,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,FpSingleStory,FpMultiStory,FpFreestanding,FpAdditional,YrBuilt,YrRenovated,Condition,Township,Section,QuarterSection,Area,SubArea,DistrictName,SqFtLot,WaterSystem,SewerSystem,Access,InadequateParking,LotDepthFactor,TrafficNoise,DocumentDate,Date
10,10050,380,445000,2435  S 354TH ST   98003,2435 ,354TH                    ,98003,1.0,7,1480,0,0,0,1480,0,0,0,0,440, ,80,0,120,5,2,3,0,0,2,1,0,0,0,1994,0,5,21,28,NE,55.0,15.0,KING COUNTY,6446,2,2,4,2,0,0,12/12/2019,2019
11,10050,380,311000,2435  S 354TH ST   98003,2435 ,354TH                    ,98003,1.0,7,1480,0,0,0,1480,0,0,0,0,440, ,80,0,120,5,2,3,0,0,2,1,0,0,0,1994,0,5,21,28,NE,55.0,15.0,KING COUNTY,6446,2,2,4,2,0,0,08/16/2019,2019
21,18800,95,730000,1602   LAKEVIEW BLVD E  98102,1602 ,LAKEVIEW                 ,98102,2.0,9,660,0,595,0,1540,380,285,8,0,0,Y,0,0,155,1,3,3,1,1,1,0,1,0,0,1984,0,3,25,20,SE,13.0,3.0,SEATTLE,3117,2,2,4,0,0,3,08/30/2019,2019
28,19110,310,1055700,4520   88TH AVE SE  98040,4520 ,88TH                     ,98040,1.0,8,1390,0,0,0,2780,1390,1390,7,0,0,Y,0,0,100,5,2,6,0,1,1,0,1,0,1,1967,0,3,24,18,SW,34.0,3.0,MERCER ISLAND,9525,2,2,4,2,0,0,10/01/2019,2019
34,17900,1770,565000,12207   50TH AVE S  98168,12207,50TH                     ,98168,1.0,8,1350,0,0,0,2230,1280,880,7,400,80,Y,40,0,100,5,3,3,0,0,2,1,0,0,0,2015,0,3,23,10,SE,24.0,5.0,TUKWILA,7820,2,2,4,2,0,0,12/13/2019,2019
36,17900,2501,610000,12566   50TH PL S  98178,12566,50TH                     ,98178,2.0,8,1110,0,1400,0,2510,0,0,0,0,400, ,0,0,0,5,2,4,1,0,2,0,0,0,0,2019,0,3,23,11,SW,24.0,5.0,TUKWILA,7077,2,2,4,2,0,0,10/22/2019,2019
46,17900,420,300000,12215   44TH AVE S  98178,12215,44TH                     ,98178,1.0,5,518,0,0,0,518,0,0,0,0,0,N,0,0,0,1,2,0,1,0,0,0,0,1,0,1916,0,3,23,10,SE,24.0,5.0,TUKWILA,6000,2,2,4,2,0,0,08/20/2019,2019
47,17900,2305,536000,12517   51ST PL S  ,12517,51ST                     ,,1.0,8,2190,0,0,0,2190,0,0,0,0,760,N,140,0,0,5,2,4,1,0,2,0,0,0,0,2015,0,3,23,11,SW,24.0,5.0,TUKWILA,12500,2,2,4,2,0,0,04/24/2019,2019
63,10300,190,1215000,2281  NE 61ST ST   98115,2281 ,61ST                     ,98115,1.5,8,1180,670,0,0,1180,830,0,0,0,0, ,0,0,0,5,2,2,0,0,1,0,1,0,0,1928,0,3,25,9,NW,44.0,1.0,SEATTLE,4600,2,2,4,2,0,0,08/09/2019,2019
86,19450,10,549000,10706  SW 133RD ST   98070,10706,133RD                    ,98070,1.0,7,1290,0,0,0,1290,0,0,0,0,0,N,0,0,0,5,2,3,0,1,1,0,0,1,0,1979,0,4,23,18,NW,100.0,1.0,KING COUNTY,34741,2,1,4,2,0,0,09/12/2019,2019
93,19245,200,515000,13809   437TH PL SE  98045,13809,437TH                    ,98045,1.0,7,840,0,0,0,1280,780,440,6,340,0,Y,0,0,320,4,3,4,0,0,2,0,0,0,0,1985,0,4,23,14,SW,80.0,3.0,KING COUNTY,20383,2,1,4,2,0,1,12/06/2019,2019
103,19450,120,550000,10703  SW 134TH PL   98070,10703,134TH                    ,98070,1.0,7,1352,0,0,0,1352,0,0,0,0,0,N,140,0,168,1,2,2,0,0,1,1,0,1,0,1965,0,5,23,18,NW,100.0,1.0,KING COUNTY,61760,2,1,4,2,0,0,10/07/2019,2019
124,20030,150,630000,14924   89TH PL NE  98028,14924,89TH                     ,98028,2.0,8,930,0,930,0,1860,0,0,0,0,470, ,40,0,0,5,2,4,1,0,2,1,0,0,0,1994,0,3,26,18,SW,37.0,2.0,KENMORE,6099,2,2,4,2,0,2,10/07/2019,2019
129,20080,340,615000,13618   174TH AVE NE  98052,13618,174TH                    ,98052,2.0,8,970,0,700,0,1670,0,0,0,0,440, ,0,0,90,5,2,3,0,0,2,0,1,0,0,1983,0,4,26,24,SE,72.0,4.0,KING COUNTY,7407,2,2,4,2,0,0,09/09/2019,2019
136,10454,70,350000,1711  SW 324TH ST   98023,1711 ,324TH                    ,98023,2.0,7,750,0,820,0,1570,0,0,0,0,520,N,0,0,480,5,2,3,1,0,2,0,1,0,0,1986,0,3,21,13,NE,54.0,18.0,FEDERAL WAY,5553,2,2,4,2,0,0,06/17/2019,2019
163,18200,112,550000,5527  S LANGSTON RD   98178,5527 ,LANGSTON                 ,98178,1.0,7,1400,0,0,0,1800,1400,400,6,0,480,Y,0,0,140,4,3,3,1,0,2,3,0,0,1,1963,0,3,23,11,SW,25.0,1.0,KING COUNTY,17300,2,1,4,0,0,0,08/28/2019,2019
180,10920,570,449500,33932   28TH PL SW  98023,33932,28TH                     ,98023,1.0,8,1460,0,0,0,2410,1230,950,7,280,160,Y,0,0,140,5,2,5,0,2,1,0,1,0,1,1979,0,4,21,24,NW,53.0,17.0,FEDERAL WAY,6696,2,2,4,2,0,0,07/26/2019,2019
213,19350,120,399950,14907  SE 270TH PL   98042,14907,270TH                    ,98042,1.0,8,2120,0,0,0,2120,0,0,0,0,0, ,0,0,0,5,1,4,0,1,1,1,0,1,0,1967,0,3,22,26,SW,86.0,1.0,KENT,10080,2,1,4,2,0,0,07/03/2019,2019
222,21750,55,450000,1820  N 148TH ST   98133,1820 ,148TH                    ,98133,1.0,8,1780,0,0,0,1780,0,0,0,0,530,N,0,0,600,5,2,3,0,2,1,1,0,0,1,1958,0,3,26,18,SE,2.0,6.0,SHORELINE,10447,2,2,4,2,0,0,10/22/2019,2019
228,22206,9103,550000,24840  SE 200TH ST   98038,24840,200TH                    ,98038,1.0,7,1260,0,0,0,2480,1220,1220,6,0,0,Y,0,0,290,4,3,5,0,0,2,0,1,0,1,1963,0,4,22,2,NW,66.0,10.0,KING COUNTY,208652,1,1,4,0,0,1,07/29/2019,2019
247,22105,9145,395000,29415   154TH AVE SE  98042,29415,154TH                    ,98042,2.0,8,1030,0,590,0,1620,860,0,0,480,0,N,0,0,830,5,2,3,1,1,1,0,0,0,0,1994,0,3,21,2,NW,58.0,4.0,KING COUNTY,104544,1,1,4,0,0,0,08/28/2019,2019
260,11410,1500,541950,17806   83RD PL NE  98028,17806,83RD                     ,98028,1.0,6,1370,0,0,0,1370,0,0,0,0,0, ,0,0,0,5,2,4,1,0,2,1,0,0,0,1918,0,4,26,12,NE,38.0,2.0,KENMORE,9993,2,2,4,2,0,1,05/05/2019,2019
264,11700,447,524950,4110  SW COLLEGE ST   98116,4110 ,COLLEGE                  ,98116,1.0,6,1070,0,0,0,1070,120,0,0,0,0,N,0,0,80,5,2,1,0,1,1,0,0,0,0,1908,0,3,24,11,NE,16.0,3.0,SEATTLE,1962,2,2,4,2,0,0,06/26/2019,2019
270,22105,9137,598500,15304  SE 296TH ST   98042,15304,296TH                    ,98042,1.0,7,2170,0,0,0,4340,2170,2170,6,0,720,N,0,0,780,5,1,5,0,0,3,0,0,1,0,1968,0,4,21,2,NW,58.0,4.0,KING COUNTY,43560,1,1,3,0,0,0,03/19/2019,2019
281,19580,120,575000,11013  SE 184TH PL   ,11013,184TH                    ,,2.0,8,1138,0,1286,0,2424,0,0,0,0,473, ,30,0,0,5,2,4,1,0,2,1,0,0,0,2014,0,3,23,32,SE,51.0,6.0,RENTON,5265,2,2,4,2,0,0,01/18/2019,2019
284,20051,390,975000,15221   92ND PL NE  98011,15221,92ND                     ,98011,2.0,9,1530,0,1190,0,2720,0,0,0,0,440, ,0,0,0,5,2,4,1,0,2,1,1,0,0,1989,0,5,26,18,SE,38.0,3.0,BOTHELL,7495,2,2,4,2,0,0,08/21/2019,2019
290,20230,25,740000,14044   BAGLEY AVE N  98133,14044,BAGLEY                   ,98133,1.0,7,1570,0,0,0,1570,0,0,0,0,0, ,0,0,0,4,3,4,0,1,1,1,0,0,0,1955,0,5,26,20,NW,6.0,3.0,SEATTLE,7847,2,2,4,0,0,0,02/04/2019,2019
293,20340,10,880000,27941  NE QUAIL CREEK DR   98053,27941,QUAIL CREEK              ,98053,2.0,8,1260,0,1180,0,2440,0,0,0,0,750, ,140,0,140,5,2,4,1,0,2,2,0,0,0,1995,0,4,25,19,SW,71.0,10.0,KING COUNTY,29630,2,1,4,2,0,0,07/11/2019,2019
305,17300,36,519950,13816 A  GREENWOOD AVE N  ,13816,GREENWOOD                ,,2.0,8,550,0,570,0,1370,500,250,8,250,0, ,0,0,30,5,2,3,1,2,1,1,0,0,0,2009,0,3,26,19,NW,6.0,4.0,SEATTLE,1001,2,2,4,0,0,0,03/01/2019,2019
324,20310,1530,640000,3304   288TH AVE NE  98053,3304 ,288TH                    ,98053,2.0,8,1540,0,430,0,1970,0,0,0,0,500, ,0,0,440,5,3,3,0,0,3,0,0,1,0,1983,0,4,25,19,NE,71.0,10.0,KING COUNTY,54450,2,1,4,2,0,0,11/21/2019,2019
349,12102,9024,505000,12921  SW BACHELOR RD   98070,12921,BACHELOR                 ,98070,1.0,6,680,0,0,0,680,0,0,0,0,0,N,0,0,380,4,3,1,0,1,1,0,0,1,0,1944,1990,3,21,1,SW,100.0,6.0,KING COUNTY,22745,1,1,4,2,2,0,08/23/2019,2019
353,12303,9068,420000,9834   20TH AVE SW  98106,9834 ,20TH                     ,98106,1.0,6,1040,0,0,0,1040,0,0,0,0,0, ,0,0,300,5,2,2,0,0,1,0,0,0,0,1918,0,3,23,1,NE,23.0,5.0,KING COUNTY,13600,2,2,4,2,0,0,08/30/2019,2019
377,20020,40,515400,207  S 172ND PL   98148,207  ,172ND                    ,98148,2.0,8,1280,0,1040,0,2320,300,0,0,0,440,N,0,0,430,5,3,4,1,0,2,1,1,0,0,1979,0,3,23,29,SW,96.0,2.0,BURIEN,7300,2,2,4,2,0,0,09/13/2019,2019
378,17300,32,500000,13820 A  GREENWOOD AVE N  ,13820,GREENWOOD                ,,2.0,8,620,0,620,0,1480,530,240,8,290,0, ,0,0,0,5,2,3,1,1,2,1,0,0,0,2009,0,3,26,19,NW,6.0,4.0,SEATTLE,1716,2,2,4,0,0,2,02/11/2019,2019
398,17900,2255,639000,12570   51ST PL S  98178,12570,51ST                     ,98178,2.5,9,830,350,1440,0,2620,0,0,0,0,480, ,190,0,0,5,2,5,1,0,2,1,0,0,0,2019,0,3,23,11,SW,24.0,5.0,TUKWILA,8445,2,2,4,2,0,0,07/25/2019,2019
413,22603,9282,855000,19825   15TH AVE NW  98177,19825,15TH                     ,98177,1.0,7,1400,0,0,0,2800,1400,1400,7,0,0,Y,70,0,370,5,2,5,0,2,1,0,1,0,1,1968,0,5,26,2,NE,1.0,2.0,SHORELINE,10490,2,2,4,0,0,0,06/11/2019,2019
415,22603,9323,1072000,20238   RICHMOND BEACH DR NW  98177,20238,RICHMOND BEACH           ,98177,2.0,8,1140,0,1620,0,3780,1140,1020,8,0,480,Y,40,0,190,5,2,4,1,2,1,0,1,0,1,1980,0,3,26,2,NW,1.0,1.0,SHORELINE,8996,2,2,3,0,0,0,01/23/2019,2019
423,22105,9011,410000,29245   154TH AVE SE  98042,29245,154TH                    ,98042,1.0,7,1600,0,0,0,1600,0,0,0,0,0, ,0,0,0,5,1,3,0,0,1,1,0,0,0,1956,0,4,21,2,NW,58.0,4.0,KING COUNTY,115635,1,1,4,0,0,0,10/28/2019,2019
438,22104,9173,633500,28818   57TH PL S  98001,28818,57TH                     ,98001,1.0,9,1490,0,0,0,2920,1430,1430,8,0,0,Y,160,0,390,5,3,4,0,1,2,0,1,0,1,1978,0,3,21,2,NW,27.0,11.0,AUBURN,117176,2,1,4,0,0,0,02/13/2019,2019
440,22105,9060,616000,28841   164TH AVE SE  98042,28841,164TH                    ,98042,1.0,7,1370,0,0,0,2410,1040,1040,6,0,670,Y,100,0,0,5,2,4,0,1,1,0,0,1,0,1975,0,4,21,2,NE,58.0,5.0,KING COUNTY,87546,2,1,4,0,0,0,07/23/2019,2019
443,22206,9068,719900,24409  SE 200TH ST   98038,24409,200TH                    ,98038,2.0,9,1100,0,1370,0,2470,0,0,0,0,730, ,140,0,280,5,2,3,1,0,2,1,0,0,0,2006,0,3,22,2,SW,66.0,10.0,KING COUNTY,31462,1,1,4,0,0,1,04/08/2019,2019
445,22303,9166,620000,4325  SW 102ND ST   98146,4325 ,102ND                    ,98146,1.5,7,1190,310,0,0,1500,420,0,0,0,0, ,60,0,0,5,2,4,0,1,1,1,0,0,0,1922,0,3,23,2,NW,17.0,3.0,SEATTLE,13113,2,2,4,0,0,0,04/30/2019,2019
453,22605,9073,600000,16056  NE 185TH ST   98072,16056,185TH                    ,98072,1.0,6,1440,0,0,0,1840,400,400,2,0,0,N,80,130,340,1,1,5,0,0,1,0,0,0,0,1947,0,4,26,2,SE,36.0,2.0,WOODINVILLE,37318,2,1,3,2,0,0,04/25/2019,2019
465,18500,93,421900,12059   56TH PL S  98178,12059,56TH                     ,98178,1.0,6,1210,0,0,0,1210,0,0,0,0,0,N,0,0,0,5,2,3,0,0,1,1,0,0,0,1950,0,5,23,11,SW,25.0,1.0,KING COUNTY,6500,2,1,4,0,0,2,11/04/2019,2019
466,18600,30,923500,13071   134TH AVE NE  98034,13071,134TH                    ,98034,2.0,9,1110,0,1390,0,2500,0,0,0,0,420, ,80,0,0,5,2,4,1,0,2,1,0,0,0,1998,0,3,26,27,NW,93.0,7.0,KIRKLAND,4285,2,2,4,2,0,0,03/26/2019,2019
488,19360,20,890000,16609  NE 92ND ST   98052,16609,92ND                     ,98052,1.0,7,1100,0,0,0,1870,1060,770,7,290,0,Y,0,0,70,4,3,4,0,1,2,0,1,0,1,1967,2018,5,25,1,NW,72.0,6.0,REDMOND,8460,2,2,4,2,0,0,04/30/2019,2019
515,20310,1005,765000,3635  W AMES LAKE DR NE  98053,3635 ,AMES LAKE                ,98053,2.0,8,1340,0,860,0,2200,0,0,0,0,540, ,70,0,0,5,2,3,1,0,2,1,0,0,0,1996,0,3,25,19,NW,71.0,10.0,KING COUNTY,21206,2,1,4,2,0,0,07/09/2019,2019
521,17900,1731,560000,12223   50TH AVE S  98178,12223,50TH                     ,98178,2.0,8,990,0,1480,0,2470,0,0,0,0,460, ,0,0,0,5,2,3,1,0,2,1,0,0,0,2010,0,3,23,10,SE,24.0,5.0,TUKWILA,4500,2,2,4,2,0,0,12/17/2019,2019
603,19265,50,384800,5641  S 295TH PL   98001,5641 ,295TH                    ,98001,1.0,7,1001,0,0,0,1537,996,536,7,460,0, ,25,0,70,5,2,3,1,0,2,1,0,0,0,2005,0,3,21,2,NW,27.0,11.0,AUBURN,2848,2,2,4,2,0,0,12/02/2019,2019
612,20020,160,519000,234  S 172ND PL   98148,234  ,172ND                    ,98148,1.0,8,1740,0,0,0,1740,0,0,0,0,500,N,0,0,0,5,2,2,0,1,1,1,0,0,0,1979,0,3,23,29,SW,96.0,2.0,BURIEN,7530,2,2,4,2,0,0,05/17/2019,2019
616,20390,260,470000,27704  NE 37TH ST   98053,27704,37TH                     ,98053,1.0,6,1070,0,0,0,1070,0,0,0,0,520, ,0,0,400,5,1,3,0,1,1,1,0,0,0,1967,0,5,25,19,NW,71.0,10.0,KING COUNTY,9801,2,1,4,2,0,1,02/26/2019,2019
623,21750,160,675000,1811  N 147TH ST   98133,1811 ,147TH                    ,98133,1.0,7,1250,0,0,0,1890,1220,640,6,580,0,Y,260,0,280,5,2,3,0,1,1,0,1,0,1,1958,0,3,26,18,SE,2.0,6.0,SHORELINE,8475,2,2,4,2,0,0,03/27/2019,2019
628,17900,30,329000,12218   42ND AVE S  98168,12218,42ND                     ,98168,1.0,5,550,0,0,0,550,0,0,0,0,0, ,0,0,0,5,3,2,0,0,1,0,0,1,0,1943,0,5,23,10,SE,24.0,5.0,TUKWILA,6880,2,2,4,2,0,1,07/12/2019,2019
632,17900,2450,675000,12567   51ST PL S  ,12567,51ST                     ,,2.0,9,1110,0,1790,0,2900,0,0,0,0,660,N,60,0,0,5,2,5,0,1,2,0,0,0,0,2018,0,3,23,11,SW,24.0,5.0,TUKWILA,7344,2,2,4,2,0,0,04/09/2019,2019
669,22503,9121,700000,7321   24TH AVE NW  98117,7321 ,24TH                     ,98117,1.0,7,820,0,0,0,1070,820,250,6,0,0,N,0,0,280,5,2,3,0,0,1,1,0,0,0,1940,0,4,25,2,SW,19.0,10.0,SEATTLE,5500,2,2,4,0,0,2,10/18/2019,2019
671,22503,9155,780000,7752   29TH AVE NW  98117,7752 ,29TH                     ,98117,1.0,7,1060,0,0,0,1060,1030,0,0,250,0,N,60,0,0,5,1,2,0,0,1,0,1,0,0,1946,0,5,25,2,NW,19.0,10.0,SEATTLE,3581,2,2,4,0,0,0,12/09/2019,2019
684,10060,800,385000,33411   28TH PL SW  98023,33411,28TH                     ,98023,1.0,7,900,0,0,0,1330,430,430,7,0,480,Y,70,0,0,5,2,3,0,1,1,1,0,0,0,1976,0,4,21,13,SW,53.0,17.0,FEDERAL WAY,7125,2,2,4,2,0,0,05/24/2019,2019
685,10060,950,409950,33422   29TH PL SW  98023,33422,29TH                     ,98023,1.0,7,1180,0,0,0,2330,1150,1150,7,0,460,Y,0,0,80,5,2,5,0,1,2,0,1,0,1,1976,0,5,21,13,SW,53.0,17.0,FEDERAL WAY,7560,2,2,4,2,0,0,01/14/2019,2019
688,20500,340,860000,2504   263RD CT NE  98053,2504 ,263RD                    ,98053,2.0,9,1460,0,950,0,2410,0,0,0,0,790, ,0,0,0,5,2,4,1,0,2,0,1,0,0,1992,0,3,25,24,SW,71.0,10.0,KING COUNTY,27193,2,1,4,2,0,0,06/27/2019,2019
711,19650,110,474950,10725  SE 260TH PL   98030,10725,260TH                    ,98030,2.0,8,1262,0,1155,0,2417,0,0,0,0,418,N,120,0,0,5,2,4,0,1,2,1,0,0,0,2004,0,3,22,29,NW,61.0,5.0,KENT,5508,2,2,4,2,0,0,06/20/2019,2019
728,17900,2425,669000,12557   51ST PL S  ,12557,51ST                     ,,2.0,9,1240,0,1670,0,2910,0,0,0,0,580,N,90,0,0,5,2,5,0,1,2,1,0,0,0,2018,0,3,23,11,SW,24.0,5.0,TUKWILA,6555,2,2,4,2,0,0,04/23/2019,2019
741,17900,1865,445000,5027  S 122ND LN   ,5027 ,122ND                    ,,2.0,7,870,0,660,0,1530,0,0,0,0,320, ,60,0,0,5,2,3,0,1,2,1,0,0,0,2018,0,3,23,10,SE,24.0,5.0,TUKWILA,4386,2,2,4,2,0,3,03/07/2019,2019
748,19330,70,400000,14328  SE 259TH PL   98042,14328,259TH                    ,98042,1.0,6,1240,0,0,0,1240,0,0,0,0,480,N,0,0,0,5,2,3,0,1,1,1,0,0,0,1987,0,4,22,27,NE,61.0,6.0,KENT,9223,2,2,4,0,0,0,09/20/2019,2019
761,19360,270,763500,9210   166TH PL NE  98052,9210 ,166TH                    ,98052,1.0,7,1100,0,0,0,1870,1060,770,7,290,0,Y,0,0,260,4,3,3,0,1,1,0,1,0,1,1968,0,4,25,1,NW,72.0,6.0,REDMOND,8756,2,2,4,2,0,0,03/01/2019,2019
803,23620,60,414950,3744  S 189TH PL   98188,3744 ,189TH                    ,98188,1.0,7,1610,0,0,0,1610,0,0,0,0,290,N,0,0,90,5,2,3,1,0,1,0,1,0,1,1958,0,3,23,34,SW,24.0,7.0,SeaTac,7372,2,2,4,2,0,0,11/18/2019,2019
809,10453,270,308500,1728  SW 326TH CT   98023,1728 ,326TH                    ,98023,1.0,7,1100,0,0,0,1100,0,0,0,0,500,N,130,0,80,5,2,2,0,0,1,1,0,0,0,1987,0,3,21,13,NE,54.0,18.0,FEDERAL WAY,6943,2,2,4,2,0,0,02/05/2019,2019
842,21770,170,575000,20308   WHITMAN AVE N  98133,20308,WHITMAN                  ,98133,1.0,8,1330,0,0,0,1840,1330,510,7,800,0,Y,0,0,330,5,2,3,1,1,1,0,1,0,1,1959,0,3,26,6,NW,1.0,5.0,SHORELINE,8938,2,2,4,0,0,0,02/13/2019,2019
847,22307,9022,1020000,10608   348TH AVE SE  98065,10608,348TH                    ,98065,2.0,10,2620,0,1940,0,4560,0,0,0,0,0,N,270,180,570,1,3,3,1,1,2,2,0,0,0,1987,0,4,23,2,SE,80.0,2.0,KING COUNTY,98881,1,1,3,2,0,0,08/22/2019,2019
853,22406,9171,870000,2003  W BEAVER LAKE DR SE  98027,2003 ,BEAVER LAKE              ,98027,1.0,8,2390,0,0,0,2390,0,0,0,0,580,N,0,0,1100,5,3,3,0,1,1,1,0,0,0,1984,0,4,24,2,SE,69.0,5.0,SAMMAMISH,19558,2,1,4,2,0,0,08/21/2019,2019
862,22510,103,1215000,12222  NE 78TH ST   98033,12222,78TH                     ,98033,2.0,8,1660,0,1020,0,2680,0,0,0,0,640, ,330,0,0,5,2,4,2,0,2,1,0,0,0,1966,2012,3,25,9,NW,93.0,15.0,KIRKLAND,10508,2,2,4,2,0,0,06/11/2019,2019
907,10451,60,389000,32213   13TH PL SW  98023,32213,13TH                     ,98023,2.0,7,1170,0,550,0,1720,0,0,0,0,500,N,80,0,0,5,2,4,0,0,2,1,0,0,0,1984,0,3,21,18,NW,54.0,18.0,FEDERAL WAY,7210,2,2,4,2,0,0,03/18/2019,2019
918,10456,430,395000,32615   20TH AVE SW  98023,32615,20TH                     ,98023,2.0,7,1150,0,720,0,1870,0,0,0,0,460,N,0,0,0,5,2,3,1,0,2,0,1,0,0,1990,0,3,21,13,NE,54.0,18.0,FEDERAL WAY,7318,2,2,4,2,0,1,08/14/2019,2019
931,23640,140,427000,19101   33RD AVE S  98188,19101,33RD                     ,98188,1.0,7,1110,0,0,0,1740,1110,630,6,480,0,Y,0,0,240,5,2,3,0,1,1,0,1,0,1,1959,0,3,23,34,SW,24.0,7.0,SeaTac,7228,2,2,4,2,0,0,02/20/2019,2019
936,62104,9093,425000,29611   1ST AVE S  98003,29611,1ST                      ,98003,1.0,8,1310,0,0,0,2510,1200,1200,8,0,400,Y,70,0,420,5,2,4,1,2,1,0,1,0,1,1964,0,5,21,6,SE,52.0,11.0,FEDERAL WAY,10454,2,2,4,2,0,2,01/03/2019,2019
945,62106,9125,349500,29024   187TH AVE SE  98042,29024,187TH                    ,98042,1.0,7,1040,0,0,0,1040,0,0,0,0,230,N,0,0,0,1,3,3,0,0,2,1,0,0,0,1962,2015,3,21,6,NW,58.0,5.0,KING COUNTY,9450,2,1,3,0,0,0,04/12/2019,2019
949,62106,9249,383000,28817   191ST PL SE  98042,28817,191ST                    ,98042,1.0,7,1270,0,0,0,1270,0,0,0,0,420,N,0,0,280,4,3,3,0,1,1,1,0,0,0,1980,0,5,21,6,NE,58.0,6.0,KING COUNTY,10018,2,1,4,0,0,0,03/25/2019,2019
965,19360,80,679500,16709  NE 92ND ST   98052,16709,92ND                     ,98052,1.0,7,1190,0,0,0,1190,0,0,0,0,480, ,0,0,0,4,3,3,0,0,2,1,0,0,0,1968,0,4,25,1,NW,72.0,6.0,REDMOND,9315,2,2,4,2,0,0,06/24/2019,2019
984,23500,55,530000,2458  S EDMUNDS ST   98108,2458 ,EDMUNDS                  ,98108,1.0,8,1260,0,0,0,2520,1260,1260,6,0,320,Y,0,0,0,7,3,2,1,0,1,0,1,0,1,1955,0,3,24,21,NE,79.0,7.0,SEATTLE,5060,2,2,4,2,0,0,07/03/2019,2019
1059,22104,9071,480000,29241   59TH AVE S  98001,29241,59TH                     ,98001,1.5,7,1220,890,0,0,2110,0,0,0,0,240, ,0,0,220,5,1,5,1,0,1,0,0,0,0,1920,1963,3,21,2,NW,27.0,11.0,AUBURN,103672,2,1,4,0,0,0,11/14/2019,2019
1075,22104,9094,460000,29224   51ST AVE S  98001,29224,51ST                     ,98001,1.0,7,1500,0,0,0,1500,0,0,0,0,0, ,0,0,160,5,3,2,0,0,2,1,0,0,0,1950,0,3,21,2,NW,27.0,11.0,AUBURN,44306,2,1,4,0,0,0,12/23/2019,2019
1078,22105,9091,405000,15204  SE 300TH ST   98042,15204,300TH                    ,98042,1.0,7,2030,0,0,0,2030,0,0,0,0,550,N,200,0,300,4,3,3,0,1,1,1,0,1,0,1962,0,4,21,2,SW,58.0,4.0,KING COUNTY,99316,2,1,4,0,0,0,06/03/2019,2019
1085,22303,9302,499000,3707  SW 105TH ST   98146,3707 ,105TH                    ,98146,1.0,6,1400,0,0,0,1400,0,0,0,0,0,N,0,0,0,5,1,3,0,1,1,1,0,0,0,1955,0,3,23,2,SE,17.0,3.0,SEATTLE,7395,2,2,4,0,0,0,01/31/2019,2019
1086,22303,9322,676000,3824  SW 105TH ST   98146,3824 ,105TH                    ,98146,1.0,7,1420,0,0,0,2090,1400,670,7,730,0,Y,0,0,340,5,3,3,1,1,1,0,1,0,1,1976,0,3,23,2,SE,17.0,3.0,SEATTLE,10484,2,2,4,0,0,0,04/01/2019,2019
1092,22102,9145,715000,29821   131ST AVE SW  98070,29821,131ST                    ,98070,2.0,8,1010,0,850,0,2527,890,667,7,0,0,Y,60,0,540,5,3,3,1,1,1,0,0,1,0,1984,0,4,21,2,SE,100.0,6.0,KING COUNTY,213470,1,1,4,2,0,0,11/13/2019,2019
1104,19400,405,560000,4147   45TH AVE SW  98116,4147 ,45TH                     ,98116,1.0,7,1020,0,0,0,1320,720,300,6,0,0,N,0,0,220,5,2,2,0,1,1,0,0,0,0,1925,1985,3,24,14,SW,48.0,9.0,SEATTLE,5850,2,2,4,0,0,0,09/04/2019,2019
1109,10060,1020,388000,33318   29TH PL SW  98023,33318,29TH                     ,98023,1.0,7,1050,0,0,0,1550,1040,500,7,490,0,Y,0,0,80,5,2,3,0,1,1,0,1,0,1,1976,0,4,21,13,SW,53.0,17.0,FEDERAL WAY,8125,2,2,4,2,0,0,10/11/2019,2019
1111,10450,960,355000,32228   16TH AVE SW  98023,32228,16TH                     ,98023,1.0,7,1250,0,0,0,1250,0,0,0,0,450,N,40,0,60,5,2,3,1,0,1,1,0,0,0,1983,0,3,21,18,NW,54.0,18.0,FEDERAL WAY,7210,2,2,4,2,0,0,02/14/2019,2019
1127,11470,240,400000,2217  SW 346TH ST   98023,2217 ,346TH                    ,98023,1.0,7,1200,0,0,0,1910,1200,710,7,490,0,N,0,0,370,5,2,4,1,1,1,0,1,0,1,1970,0,4,21,24,SE,53.0,17.0,FEDERAL WAY,9679,2,1,4,2,0,0,09/17/2019,2019
1129,11470,300,348000,2109  SW 346TH ST   98023,2109 ,346TH                    ,98023,1.0,7,1250,0,0,0,1250,0,0,0,0,460,N,0,0,170,5,2,3,0,1,1,1,0,0,0,1970,0,4,21,24,SE,53.0,17.0,FEDERAL WAY,9600,2,1,4,2,0,0,10/18/2019,2019
1179,10700,32,730000,10407   ALDERBROOK PL NW  98177,10407,ALDERBROOK               ,98177,2.0,8,740,0,730,0,1820,720,350,8,370,0,Y,0,0,0,1,3,4,1,0,3,1,0,0,0,2009,0,3,26,36,NE,39.0,3.0,SEATTLE,2900,2,2,4,2,0,0,03/04/2019,2019
