,Major,Minor,SalePrice,Address,BuildingNumber,StreetName,ZipCode,Stories,BldgGrade,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,FinBasementGrade,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,HeatSystem,HeatSource,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,FpSingleStory,FpMultiStory,FpFreestanding,FpAdditional,YrBuilt,YrRenovated,Condition,Township,Section,QuarterSection,Area,SubArea,DistrictName,SqFtLot,WaterSystem,SewerSystem,Access,InadequateParking,LotDepthFactor,TrafficNoise,DocumentDate,Date
82164,259740,270,609500,20175   45TH AVE NE  98155,20175,45TH                     ,98155,1.0,8,1490,0,0,0,1490,1460,0,0,670,0,Y,0,0,260,5,2,3,1,1,1,0,1,0,1,1969,0,3,26,3,NW,4.0,3.0,LAKE FOREST PARK,10630,2,2,4,0,0,0,06/18/2019,2019
82181,384160,187,400000,1244  SW 118TH ST   98146,1244 ,118TH                    ,98146,1.0,7,1480,0,0,0,1480,0,0,0,0,280, ,0,0,120,5,1,3,1,0,1,1,0,0,0,1955,0,3,23,7,NW,96.0,4.0,BURIEN,7630,2,2,4,2,0,0,09/24/2019,2019
82184,384510,650,559950,2711   55TH ST SE  ,2711 ,55TH                     ,,2.0,9,1190,0,1490,0,2680,0,0,0,0,400, ,220,0,0,5,2,4,1,0,2,2,0,0,0,2014,0,3,21,32,SE,87.0,18.0,AUBURN,4158,2,2,4,2,0,0,02/26/2019,2019
82199,384070,201,850000,8004  NE 128TH ST   98034,8004 ,128TH                    ,98034,2.0,8,1120,0,1060,0,2180,0,0,0,0,0, ,130,0,0,5,2,3,1,1,1,1,0,0,0,2004,0,3,26,25,NE,37.0,1.0,KIRKLAND,13894,2,2,4,2,0,0,06/18/2019,2019
82206,259715,280,440000,11505  SE 218TH PL   98031,11505,218TH                    ,98031,1.0,7,1290,0,0,0,2010,1240,720,7,520,200,Y,0,0,200,7,3,3,1,1,1,0,1,0,1,1981,0,4,22,8,SE,29.0,2.0,KENT,10360,2,2,4,2,0,0,03/18/2019,2019
82212,259761,20,510500,27424   122ND PL SE  ,27424,122ND                    ,,2.0,8,1084,0,1424,0,2508,0,0,0,0,380,N,248,0,0,5,2,4,1,0,2,2,0,0,0,2013,0,3,22,33,NW,62.0,9.0,KENT,9037,2,2,3,0,0,0,08/15/2019,2019
82269,385690,2605,665000,319  NE 58TH ST   98105,319  ,58TH                     ,98105,1.0,7,930,0,0,0,930,0,0,0,0,0, ,40,0,100,5,2,2,0,0,1,0,0,0,0,1912,0,4,25,8,NW,43.0,5.0,SEATTLE,4000,2,2,4,2,0,1,10/02/2019,2019
82305,259240,1020,750000,12924  NE 131ST ST   98034,12924,131ST                    ,98034,1.0,7,1860,0,0,0,2340,1020,480,7,540,0,N,70,0,140,5,2,4,0,1,1,0,1,0,0,1972,0,4,26,28,NE,93.0,7.0,KIRKLAND,6863,2,2,4,2,0,0,06/27/2019,2019
82318,259768,270,480000,19831   132ND PL SE  98058,19831,132ND                    ,98058,2.0,8,1120,0,880,0,2000,0,0,0,0,510,N,0,0,0,5,2,4,1,0,2,0,1,0,0,1985,0,3,22,3,NW,51.0,2.0,KING COUNTY,6522,2,2,4,2,0,0,04/11/2019,2019
82335,259184,370,569000,18233   132ND PL SE  98058,18233,132ND                    ,98058,2.0,9,1340,0,1210,0,2550,0,0,0,0,550,N,0,0,0,5,2,4,1,0,2,1,1,0,0,1988,0,4,23,34,NW,51.0,6.0,KING COUNTY,8847,2,2,4,2,0,0,02/05/2019,2019
